PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
35639875,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35628753,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35598779,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35519003,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35483643,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35474062,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35409013,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35326384,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35320713,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35213814,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35066016,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34954190,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34914795,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34858796,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34835122,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34712932,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34587535,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34506811,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34484156,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34480772,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34452440,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34405205,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34394063,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34379503,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34201544,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34126139,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34110129,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
34012525,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33956914,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33939238,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33898520,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33872335,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33856342,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33827978,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33811915,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33778258,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33717824,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33594057,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33568513,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33520427,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33504660,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33503246,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33478059,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33472860,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33453182,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33299990,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33277788,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33268520,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33226526,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33224987,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33220335,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33183252,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33144657,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33141837,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33137116,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33125669,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33028717,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
33028676,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32959625,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32933492,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32912204,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32907955,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32894277,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32882148,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32862759,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32778557,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32763313,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32753504,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32720571,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32707049,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32591017,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32554717,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32528005,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32503657,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32373088,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32361744,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32289057,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32284326,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32269120,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32264931,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32135218,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32094225,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32069388,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32034942,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31992392,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31988380,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31951615,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31941775,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31932713,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31924730,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31909070,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31855806,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31852780,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31819391,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31796806,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31774950,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31694758,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31671053,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31634467,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31572348,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31562565,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31516086,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31495285,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31428774,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31393600,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31344850,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31291242,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31251806,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31242600,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31233808,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31195019,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31168856,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31118263,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31099769,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31071117,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31039137,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
31014969,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30987343,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30962389,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30942884,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30921383,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30904708,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30811073,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30790541,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30788508,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30670861,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30610515,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30559250,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30541788,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30526829,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
