PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
35483643,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35320713,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35216019,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35182042,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35164550,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
35111280,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34915414,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34889033,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34831169,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34709675,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34586867,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34583312,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34551346,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34452514,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34415722,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34391783,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34225493,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
34126139,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33972249,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33593215,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33499042,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33479904,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33472860,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33433841,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33422611,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33352046,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33322045,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33220335,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33210457,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33184176,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
33028676,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32826218,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32740830,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32720571,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32665273,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32621945,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32616594,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32595613,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32528661,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32446802,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32374474,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32303635,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32269120,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32241891,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32210083,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32098814,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32094225,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
32003972,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31931103,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31861617,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31836704,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31806372,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31771760,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31671053,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31665348,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31648236,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31594810,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31572348,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31536833,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31521407,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31480658,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31300330,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31276291,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31233808,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31110176,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
31076990,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30508414,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30481203,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30408747,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30380742,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30335906,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30169869,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30149038,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30114391,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30081931,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
30045993,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29982696,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29865243,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29765101,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29584632,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29579104,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29566079,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
